"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"ميضار","Midar","15348"
"بوشاون","Bouchaouene","15239"
"بطيط","Bitit","15238"
"كلاز","Galaz","15196"
"انزالت لعظم","Nzalat Laadam","15195"
"تمزكانة","Timezgana","15184"
"آيت سغروشن","Ait Saghrouchen","15140"
"عين مديونة","Ain Mediouna","15115"
"مقام الطلبة","M'qam Tolba","15070"
"بولنوار","Boulanouare","15043"
"كرس تعلالين","Guers Tiaallaline","15019"
"توغيلت","Taoughilt","15013"
"بن الطيب","Ben Taieb","14999"
"المشور فاس الجديد","Méchouar-Fès-El Jadid","14988"
"الرتبة","Ratba","14944"
"زمران","Zemrane","14922"
"عين قنصرة","Ain Kansara","14910"
"سيدي دحمان","Sidi Dahmane","14878"
"تيدلي","Tidili","14817"
"الزحيلكة","Ezzhiliga","14788"
"بولعوان","Boulaouane","14740"
"بوجنيبة","Boujniba","14721"
"لعجاجرة","Laajajra","14715"
"مجاط","Majjat","14693"
"بوي عمر","Bouya Omar","14686"
"بني وكيل أولاد محاند","Bni Oukil Oulad M'hand","14675"
"تنزولين","Tinzouline","14650"
"اسبيعات","Esbiaat","14644"
"تارجيست","Targuist","14628"
"كلميمة","Goulmima","14623"
"لخوالقة","Lakhoualqa","14618"
"آيت إيمور","Ait Imour","14598"
"مصمودة","Masmouda","14594"
"أولاد بورحمون","Ouled Bourahmoune","14583"
"تزارت","Tazart","14583"
"القباب","El Kbab","14572"
"لعثامنة","Laatamna","14561"
"سيدي عزوز","Sidi Azzouz","14484"
"أولاد دليم","Ouled Dlim","14463"
"لمريجة","Lamrija","14451"
"زايدة","Zaida","14449"
"تاكونيت","Tagounite","14413"
"الخلالفة","Khlalfa","14339"
"سيدي يحيى بني زروال","Sidi Yahia Bni Zeroual","14282"
"البدوزة","El Beddouza","14276"
"كرديد","Kridid","14259"
"رأس العين الشاوية","Ras El Ain Chaouia","14243"
"أولاد يوسف","Ouled Youssef","14233"
"سيدي العايدي","Sidi El Aidi","14163"
"مداغ","Madagh","14150"
"بني وكيل","Bni Oukil","14094"
"الزيايدة","Ziaida","14092"
"سيدي عبد الرزاق","Sidi Abderrazak","14021"
"قلعة بوقرة","Kalaat Bouqorra","13999"
"لعكاكشة","Laagagcha","13997"
"عين كرمة-واد الرمان","Ain Karma-Oued Rommane","13985"
